FILE:2017-03-02 08:45:32,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\PD45探洞（渗压计）\PD45探洞渗压计.xls
DATA:PBJ-F112+020,156,数据误差超限
DATA:PBJ-F112+020,157,数据误差超限
DATA:PBJ-F112+020,158,数据误差超限
DATA:PBJ-F112+020,159,数据误差超限
DATA:PBJ-F112+020,160,数据误差超限
DATA:PBJ-F112+020,161,数据误差超限
DATA:PBJ-F112+020,162,数据误差超限
DATA:PBJ-F112+020,163,数据误差超限
DATA:PBJ-F112+020,164,数据误差超限
DATA:PBJ-F112+020,165,数据误差超限
DATA:PBJ-F112+020,166,数据误差超限
DATA:PBJ-F112+020,167,数据误差超限
DATA:PBJ-F112+020,168,数据误差超限
DATA:PBJ-F112+020,169,数据误差超限
DATA:PBJ-F112+020,170,数据误差超限
DATA:PBJ-F112+020,171,数据误差超限
DATA:PBJ-F112+020,172,数据误差超限
DATA:PBJ-F112+020,173,数据误差超限
DATA:PBJ-F112+020,174,数据误差超限
DATA:PBJ-F112+020,175,数据误差超限
DATA:PBJ-F112+020,176,数据误差超限
DATA:PBJ-F112+020,177,数据误差超限
DATA:PBJ-F112+020,178,数据误差超限
DATA:PBJ-F112+020,179,数据误差超限
DATA:PBJ-F112+020,180,数据误差超限
DATA:PBJ-F112+020,181,数据误差超限
DATA:PBJ-F112+020,182,数据误差超限
DATA:PBJ-F112+020,183,数据误差超限
DATA:PBJ-F112+020,184,数据误差超限
DATA:PBJ-F112+020,185,数据误差超限
DATA:PBJ-F112+020,186,数据误差超限
DATA:PBJ-F112+020,187,数据误差超限
DATA:PBJ-F112+020,188,数据误差超限
DATA:PBJ-F112+020,189,数据误差超限
DATA:PBJ-F112+020,190,数据误差超限
DATA:PBJ-F112+020,191,数据误差超限
DATA:PBJ-F112+020,192,数据误差超限
DATA:PBJ-F112+020,193,数据误差超限
DATA:PBJ-F112+020,194,数据误差超限
DATA:PBJ-F112+020,195,数据误差超限
DATA:PBJ-F112+020,196,数据误差超限
DATA:PBJ-F112+020,197,数据误差超限
DATA:PBJ-F112+020,198,数据误差超限
DATA:PBJ-F112+020,199,数据误差超限
DATA:PBJ-F112+020,200,数据误差超限
DATA:PBJ-F112+020,201,数据误差超限
DATA:PBJ-F112+020,202,数据误差超限
DATA:PBJ-F112+020,203,数据误差超限
DATA:PBJ-F112+020,204,数据误差超限
DATA:PBJ-F112+020,205,数据误差超限
DATA:PBJ-F112+020,206,数据误差超限
DATA:PBJ-F112+020,207,数据误差超限
DATA:PBJ-F112+020,208,数据误差超限
DATA:PBJ-F112+020,209,数据误差超限
DATA:PBJ-F112+020,210,数据误差超限
DATA:PBJ-F112+020,211,数据误差超限
DATA:PBJ-F112+020,212,数据误差超限
DATA:PBJ-F112+020,213,数据误差超限
DATA:PBJ-F112+020,214,数据误差超限
DATA:PBJ-F112+020,215,数据误差超限
DATA:PBJ-F112+020,216,数据误差超限
DATA:PBJ-F112+020,217,数据误差超限
DATA:PBJ-F112+020,218,数据误差超限
DATA:PBJ-F112+020,219,数据误差超限
DATA:PBJ-F112+020,220,数据误差超限
DATA:PBJ-F112+020,221,数据误差超限
DATA:PBJ-F112+020,222,数据误差超限
DATA:PBJ-F112+020,223,数据误差超限
DATA:PBJ-F112+020,224,数据误差超限
DATA:PBJ-F112+020,225,数据误差超限
DATA:PBJ-F112+020,226,数据误差超限
DATA:PBJ-F112+020,227,数据误差超限
DATA:PBJ-F112+020,228,数据误差超限
DATA:PBJ-F112+020,229,数据误差超限
DATA:PBJ-F112+020,230,数据误差超限
DATA:PBJ-F112+020,231,数据误差超限
DATA:PBJ-F112+020,232,数据误差超限
DATA:PBJ-F112+020,233,数据误差超限
DATA:PBJ-F112+020,234,数据误差超限
DATA:PBJ-F112+020,235,数据误差超限
DATA:PBJ-F112+020,236,数据误差超限
DATA:PBJ-F112+020,237,数据误差超限
DATA:PBJ-F112+020,238,数据误差超限
DATA:PBJ-F112+020,239,数据误差超限
DATA:PBJ-F112+020,240,数据误差超限
DATA:PBJ-F112+020,241,数据误差超限
DATA:PBJ-F112+020,242,数据误差超限
DATA:PBJ-F112+020,243,数据误差超限
DATA:PBJ-F112+020,244,数据误差超限
DATA:PBJ-F112+020,245,数据误差超限
DATA:PBJ-F112+020,246,数据误差超限
DATA:UPBJ+189.00,144,数据误差超限
DATA:UPBJ+189.00,145,数据误差超限
DATA:UPBJ+189.00,146,数据误差超限
DATA:UPBJ+189.00,147,数据误差超限
DATA:UPBJ+189.00,148,数据误差超限
DATA:UPBJ+189.00,149,数据误差超限
DATA:UPBJ+189.00,150,数据误差超限
DATA:UPBJ+189.00,151,数据误差超限
DATA:UPBJ+189.00,152,数据误差超限
DATA:UPBJ+189.00,153,数据误差超限
DATA:UPBJ+189.00,154,数据误差超限
DATA:UPBJ+189.00,155,数据误差超限
DATA:UPBJ+189.00,156,数据误差超限
DATA:UPBJ+189.00,157,数据误差超限
DATA:UPBJ+189.00,158,数据误差超限
DATA:UPBJ+189.00,159,数据误差超限
DATA:UPBJ+189.00,160,数据误差超限
DATA:UPBJ+189.00,161,数据误差超限
DATA:UPBJ+189.00,162,数据误差超限
DATA:UPBJ+189.00,163,数据误差超限
DATA:UPBJ+189.00,164,数据误差超限
DATA:UPBJ+189.00,165,数据误差超限
DATA:UPBJ+189.00,166,数据误差超限
DATA:UPBJ+189.00,167,数据误差超限
DATA:UPBJ+189.00,168,数据误差超限
DATA:UPBJ+189.00,169,数据误差超限
DATA:UPBJ+189.00,170,数据误差超限
DATA:UPBJ+189.00,171,数据误差超限
DATA:UPBJ+189.00,172,数据误差超限
DATA:UPBJ+189.00,173,数据误差超限
DATA:UPBJ+189.00,174,数据误差超限
DATA:UPBJ+189.00,175,数据误差超限
DATA:UPBJ+189.00,176,数据误差超限
DATA:UPBJ+189.00,177,数据误差超限
DATA:UPBJ+189.00,178,数据误差超限
DATA:UPBJ+189.00,179,数据误差超限
DATA:UPBJ+189.00,180,数据误差超限
DATA:UPBJ+189.00,181,数据误差超限
DATA:UPBJ+189.00,182,数据误差超限
DATA:UPBJ+189.00,183,数据误差超限
DATA:UPBJ+189.00,184,数据误差超限
DATA:UPBJ+189.00,185,数据误差超限
DATA:UPBJ+189.00,186,数据误差超限
DATA:UPBJ+189.00,187,数据误差超限
DATA:UPBJ+189.00,188,数据误差超限
DATA:UPBJ+189.00,189,数据误差超限
DATA:UPBJ+189.00,190,数据误差超限
DATA:UPBJ+189.00,191,数据误差超限
DATA:UPBJ+189.00,192,数据误差超限
DATA:UPBJ+189.00,193,数据误差超限
DATA:UPBJ+189.00,194,数据误差超限
DATA:UPBJ+189.00,195,数据误差超限
DATA:UPBJ+189.00,196,数据误差超限
DATA:UPBJ+189.00,197,数据误差超限
DATA:UPBJ+189.00,198,数据误差超限
DATA:UPBJ+189.00,199,数据误差超限
DATA:UPBJ+189.00,200,数据误差超限
DATA:UPBJ+189.00,201,数据误差超限
DATA:UPBJ+189.00,202,数据误差超限
DATA:UPBJ+189.00,203,数据误差超限
DATA:UPBJ+189.00,204,数据误差超限
DATA:UPBJ+189.00,205,数据误差超限
DATA:UPBJ+189.00,206,数据误差超限
DATA:UPBJ+189.00,207,数据误差超限
DATA:UPBJ+189.00,208,数据误差超限
DATA:UPBJ+189.00,209,数据误差超限
DATA:UPBJ+189.00,210,数据误差超限
DATA:UPBJ+189.00,211,数据误差超限
DATA:UPBJ+189.00,212,数据误差超限
DATA:UPBJ+189.00,213,数据误差超限
DATA:UPBJ+189.00,214,数据误差超限
DATA:UPBJ+189.00,215,数据误差超限
DATA:UPBJ+189.00,216,数据误差超限
DATA:UPBJ+189.00,217,数据误差超限
DATA:UPBJ+189.00,218,数据误差超限
DATA:UPBJ+189.00,219,数据误差超限
DATA:UPBJ+189.00,220,数据误差超限
DATA:UPBJ+189.00,221,数据误差超限
DATA:UPBJ+189.00,222,数据误差超限
DATA:UPBJ+189.00,223,数据误差超限
DATA:UPBJ+189.00,224,数据误差超限
DATA:UPBJ+189.00,225,数据误差超限
DATA:UPBJ+189.00,226,数据误差超限
DATA:UPBJ+189.00,227,数据误差超限
DATA:UPBJ+189.00,228,数据误差超限
DATA:UPBJ+189.00,229,数据误差超限
DATA:UPBJ+189.00,230,数据误差超限
DATA:UPBJ+189.00,231,数据误差超限
DATA:UPBJ+228.00,26,数据误差超限
DATA:UPBJ+228.00,27,数据误差超限
DATA:UPBJ+228.00,28,数据误差超限
DATA:UPBJ+330.00,10,数据误差超限
DATA:UPBJ+330.00,11,数据误差超限
DATA:UPBJ+330.00,12,数据误差超限
DATA:UPBJ+330.00,13,数据误差超限
DATA:UPBJ+330.00,14,数据误差超限
DATA:UPBJ+330.00,15,数据误差超限
DATA:UPBJ+330.00,16,数据误差超限
DATA:UPBJ+330.00,17,数据误差超限
DATA:UPBJ+330.00,18,数据误差超限
DATA:UPBJ+330.00,19,数据误差超限
DATA:UPBJ+330.00,20,数据误差超限
DATA:UPBJ+330.00,21,数据误差超限
DATA:UPBJ+330.00,22,数据误差超限
DATA:UPBJ+330.00,23,数据误差超限
DATA:UPBJ+330.00,24,数据误差超限
DATA:UPBJ+330.00,25,数据误差超限
DATA:UPBJ+330.00,26,数据误差超限
DATA:UPBJ+330.00,27,数据误差超限
DATA:UPBJ+330.00,28,数据误差超限
DATA:UPBJ+330.00,29,数据误差超限
DATA:UPBJ+330.00,30,数据误差超限
DATA:UPBJ+330.00,31,数据误差超限
DATA:UPBJ+330.00,32,数据误差超限
DATA:UPBJ+330.00,33,数据误差超限
DATA:UPBJ+330.00,34,数据误差超限
DATA:UPBJ+330.00,35,数据误差超限
DATA:UPBJ+330.00,36,数据误差超限
DATA:UPBJ+330.00,37,数据误差超限
DATA:UPBJ+330.00,38,数据误差超限
DATA:UPBJ+330.00,39,数据误差超限
DATA:UPBJ+330.00,40,数据误差超限
DATA:UPBJ+330.00,41,数据误差超限
DATA:UPBJ+330.00,42,数据误差超限
DATA:UPBJ+330.00,43,数据误差超限
DATA:UPBJ+330.00,44,数据误差超限
DATA:UPBJ+330.00,45,数据误差超限
DATA:UPBJ+330.00,46,数据误差超限
DATA:UPBJ+330.00,47,数据误差超限
DATA:UPBJ+330.00,48,数据误差超限
DATA:UPBJ+330.00,49,数据误差超限
DATA:UPBJ+330.00,50,数据误差超限
DATA:UPBJ+330.00,51,数据误差超限
DATA:UPBJ+330.00,52,数据误差超限
DATA:UPBJ+330.00,53,数据误差超限
DATA:UPBJ+330.00,54,数据误差超限
DATA:UPBJ+330.00,55,数据误差超限
DATA:UPBJ+330.00,56,数据误差超限
DATA:UPBJ+330.00,57,数据误差超限
DATA:UPBJ+330.00,58,数据误差超限
DATA:UPBJ+330.00,59,数据误差超限
DATA:UPBJ+330.00,60,数据误差超限
DATA:UPBJ+330.00,61,数据误差超限
DATA:UPBJ+330.00,62,数据误差超限
DATA:UPBJ+330.00,63,数据误差超限
DATA:UPBJ+330.00,64,数据误差超限
DATA:UPBJ+330.00,65,数据误差超限
DATA:UPBJ+330.00,66,数据误差超限
DATA:UPBJ+330.00,67,数据误差超限
DATA:UPBJ+330.00,68,数据误差超限
DATA:UPBJ+330.00,69,数据误差超限
DATA:UPBJ+330.00,70,数据误差超限
DATA:UPBJ+330.00,71,数据误差超限
DATA:UPBJ+330.00,72,数据误差超限
DATA:UPBJ+330.00,73,数据误差超限
DATA:UPBJ+330.00,74,数据误差超限
DATA:UPBJ+330.00,75,数据误差超限
DATA:UPBJ+330.00,76,数据误差超限
DATA:UPBJ+330.00,77,数据误差超限
DATA:UPBJ+330.00,78,数据误差超限
DATA:UPBJ+330.00,79,数据误差超限
DATA:UPBJ+330.00,80,数据误差超限
DATA:UPBJ+330.00,81,数据误差超限
DATA:UPBJ+330.00,82,数据误差超限
DATA:UPBJ+330.00,83,数据误差超限
DATA:UPBJ+330.00,84,数据误差超限
DATA:UPBJ+330.00,85,数据误差超限
DATA:UPBJ+330.00,86,数据误差超限
DATA:UPBJ+330.00,87,数据误差超限
DATA:UPBJ+330.00,88,数据误差超限
DATA:UPBJ+330.00,89,数据误差超限
DATA:UPBJ+330.00,90,数据误差超限
DATA:UPBJ+330.00,91,数据误差超限
DATA:UPBJ+330.00,92,数据误差超限
DATA:UPBJ+330.00,93,数据误差超限
DATA:UPBJ+370.00,10,数据误差超限
DATA:UPBJ+370.00,11,数据误差超限
DATA:UPBJ+370.00,12,数据误差超限
DATA:UPBJ+370.00,13,数据误差超限
DATA:UPBJ+370.00,14,数据误差超限
DATA:UPBJ+370.00,15,数据误差超限
DATA:UPBJ+370.00,16,数据误差超限
DATA:UPBJ+370.00,17,数据误差超限
DATA:UPBJ+370.00,18,数据误差超限
DATA:UPBJ+370.00,19,数据误差超限
DATA:UPBJ+370.00,20,数据误差超限
DATA:UPBJ+370.00,21,数据误差超限
DATA:UPBJ+370.00,22,数据误差超限
DATA:UPBJ+370.00,23,数据误差超限
DATA:UPBJ+370.00,24,数据误差超限
DATA:UPBJ+370.00,25,数据误差超限
DATA:UPBJ+370.00,26,数据误差超限
DATA:UPBJ+370.00,27,数据误差超限
DATA:UPBJ+370.00,28,数据误差超限
DATA:UPBJ+370.00,29,数据误差超限
DATA:UPBJ+370.00,30,数据误差超限
DATA:UPBJ+370.00,31,数据误差超限
DATA:UPBJ+370.00,32,数据误差超限
DATA:UPBJ+370.00,33,数据误差超限
DATA:UPBJ+370.00,34,数据误差超限
DATA:UPBJ+370.00,35,数据误差超限
DATA:UPBJ+370.00,36,数据误差超限
DATA:UPBJ+370.00,37,数据误差超限
DATA:UPBJ+370.00,38,数据误差超限
DATA:UPBJ+370.00,39,数据误差超限
DATA:UPBJ+370.00,40,数据误差超限
DATA:UPBJ+370.00,41,数据误差超限
DATA:UPBJ+370.00,42,数据误差超限
DATA:UPBJ+370.00,43,数据误差超限
DATA:UPBJ+370.00,44,数据误差超限
DATA:UPBJ+370.00,45,数据误差超限
DATA:UPBJ+370.00,46,数据误差超限
DATA:UPBJ+370.00,47,数据误差超限
DATA:UPBJ+370.00,48,数据误差超限
DATA:UPBJ+370.00,49,数据误差超限
DATA:UPBJ+370.00,50,数据误差超限
DATA:UPBJ+370.00,51,数据误差超限
DATA:UPBJ+370.00,52,数据误差超限
DATA:UPBJ+370.00,53,数据误差超限
DATA:UPBJ+370.00,54,数据误差超限
DATA:UPBJ+370.00,55,数据误差超限
DATA:UPBJ+370.00,56,数据误差超限
DATA:UPBJ+370.00,57,数据误差超限
DATA:UPBJ+370.00,58,数据误差超限
DATA:UPBJ+370.00,59,数据误差超限
DATA:UPBJ+370.00,60,数据误差超限
DATA:UPBJ+370.00,61,数据误差超限
DATA:UPBJ+370.00,62,数据误差超限
DATA:UPBJ+370.00,63,数据误差超限
DATA:UPBJ+370.00,64,数据误差超限
DATA:UPBJ+370.00,65,数据误差超限
DATA:UPBJ+370.00,66,数据误差超限
DATA:UPBJ+370.00,67,数据误差超限
DATA:UPBJ+370.00,68,数据误差超限
DATA:UPBJ+370.00,69,数据误差超限
DATA:UPBJ+370.00,70,数据误差超限
DATA:UPBJ+370.00,71,数据误差超限
DATA:UPBJ+370.00,72,数据误差超限
DATA:UPBJ+370.00,73,数据误差超限
DATA:UPBJ+370.00,74,数据误差超限
DATA:UPBJ+370.00,75,数据误差超限
DATA:UPBJ+370.00,76,数据误差超限
DATA:UPBJ+370.00,77,数据误差超限
DATA:UPBJ+370.00,78,数据误差超限
DATA:UPBJ+370.00,79,数据误差超限
DATA:UPBJ+370.00,80,数据误差超限
DATA:UPBJ+370.00,81,数据误差超限
DATA:UPBJ+370.00,82,数据误差超限
DATA:UPBJ+370.00,83,数据误差超限
DATA:UPBJ+370.00,84,数据误差超限
DATA:UPBJ+370.00,85,数据误差超限
DATA:UPBJ+370.00,86,数据误差超限
DATA:UPBJ+370.00,87,数据误差超限
DATA:UPBJ+370.00,88,数据误差超限
DATA:UPBJ+370.00,89,数据误差超限
DATA:UPBJ+370.00,90,数据误差超限
DATA:UPBJ+370.00,91,数据误差超限
DATA:UPBJ+370.00,92,数据误差超限
DATA:UPBJ+370.00,93,数据误差超限
DATA:UPBJ+370.00,94,数据误差超限
DATA:UPBJ+395.00,169,数据误差超限
DATA:UPBJ+395.00,170,数据误差超限
DATA:UPBJ+395.00,171,数据误差超限
DATA:UPBJ+395.00,172,数据误差超限
DATA:UPBJ+395.00,173,数据误差超限
DATA:UPBJ+395.00,174,数据误差超限
DATA:UPBJ+395.00,175,数据误差超限
DATA:UPBJ+395.00,176,数据误差超限
DATA:UPBJ+395.00,177,数据误差超限
DATA:UPBJ+395.00,178,数据误差超限
DATA:UPBJ+395.00,179,数据误差超限
DATA:UPBJ+395.00,180,数据误差超限
DATA:UPBJ+395.00,181,数据误差超限
DATA:UPBJ+395.00,182,数据误差超限
DATA:UPBJ+395.00,183,数据误差超限
DATA:UPBJ+395.00,184,数据误差超限
DATA:UPBJ+395.00,185,数据误差超限
DATA:UPBJ+395.00,186,数据误差超限
DATA:UPBJ+395.00,187,数据误差超限
DATA:UPBJ+395.00,188,数据误差超限
DATA:UPBJ+395.00,189,数据误差超限
DATA:UPBJ+395.00,190,数据误差超限
DATA:UPBJ+395.00,191,数据误差超限
DATA:UPBJ+395.00,192,数据误差超限
DATA:UPBJ+395.00,193,数据误差超限
DATA:UPBJ+395.00,194,数据误差超限
DATA:UPBJ+395.00,195,数据误差超限
DATA:UPBJ+395.00,196,数据误差超限
DATA:UPBJ+395.00,197,数据误差超限
DATA:UPBJ+395.00,198,数据误差超限
DATA:UPBJ+395.00,199,数据误差超限
DATA:UPBJ+395.00,200,数据误差超限
DATA:UPBJ+395.00,201,数据误差超限
DATA:UPBJ+395.00,202,数据误差超限
DATA:UPBJ+395.00,203,数据误差超限
DATA:UPBJ+395.00,204,数据误差超限
DATA:UPBJ+395.00,205,数据误差超限
DATA:UPBJ+395.00,206,数据误差超限
DATA:UPBJ+395.00,207,数据误差超限
DATA:UPBJ+395.00,208,数据误差超限
DATA:UPBJ+395.00,209,数据误差超限
DATA:UPBJ+395.00,210,数据误差超限
DATA:UPBJ+395.00,211,数据误差超限
DATA:UPBJ+395.00,212,数据误差超限
DATA:UPBJ+395.00,213,数据误差超限
DATA:UPBJ+395.00,214,数据误差超限
DATA:UPBJ+395.00,215,数据误差超限
DATA:UPBJ+395.00,216,数据误差超限
DATA:UPBJ+395.00,217,数据误差超限
DATA:UPBJ+395.00,218,数据误差超限
DATA:UPBJ+395.00,219,数据误差超限
DATA:UPBJ+395.00,220,数据误差超限
DATA:UPBJ+395.00,221,数据误差超限
DATA:UPBJ+395.00,222,数据误差超限
DATA:UPBJ+395.00,223,数据误差超限
DATA:UPBJ+395.00,224,数据误差超限
DATA:UPBJ+395.00,225,数据误差超限
DATA:UPBJ+395.00,226,数据误差超限
DATA:UPBJ+395.00,227,数据误差超限
DATA:UPBJ+395.00,228,数据误差超限
DATA:UPBJ+395.00,229,数据误差超限
DATA:UPBJ+395.00,230,数据误差超限
DATA:UPBJ+395.00,231,数据误差超限
DATA:UPBJ+395.00,232,数据误差超限
DATA:UPBJ+395.00,233,数据误差超限
DATA:UPBJ+395.00,234,数据误差超限
DATA:UPBJ+395.00,235,数据误差超限
DATA:UPBJ+395.00,236,数据误差超限
DATA:UPBJ+395.00,237,数据误差超限
DATA:UPBJ+395.00,238,数据误差超限
DATA:UPBJ+395.00,239,数据误差超限
DATA:UPBJ+395.00,240,数据误差超限
DATA:UPBJ+395.00,241,数据误差超限
DATA:UPBJ+395.00,242,数据误差超限
DATA:UPBJ+395.00,243,数据误差超限
DATA:UPBJ+395.00,244,数据误差超限
DATA:UPBJ+395.00,245,数据误差超限
DATA:UPBJ+395.00,246,数据误差超限
DATA:UPBJ+395.00,247,数据误差超限
DATA:UPBJ+395.00,248,数据误差超限
DATA:UPBJ+395.00,249,数据误差超限
DATA:UPBJ+395.00,250,数据误差超限
DATA:UPBJ+395.00,251,数据误差超限
DATA:UPBJ+395.00,252,数据误差超限
DATA:UPBJ+450.00,35,数据误差超限
DATA:UPBJ+450.00,36,数据误差超限
DATA:UPBJ+450.00,37,数据误差超限
DATA:UPBJ+450.00,38,数据误差超限
DATA:UPBJ+450.00,39,数据误差超限
DATA:UPBJ+450.00,40,数据误差超限
DATA:UPBJ+450.00,41,数据误差超限
DATA:UPBJ+450.00,42,数据误差超限
DATA:UPBJ+450.00,43,数据误差超限
DATA:UPBJ+450.00,44,数据误差超限
DATA:UPBJ+450.00,45,数据误差超限
DATA:UPBJ+450.00,46,数据误差超限
DATA:UPBJ+450.00,47,数据误差超限
DATA:UPBJ+450.00,48,数据误差超限
DATA:UPBJ+450.00,49,数据误差超限
DATA:UPBJ+450.00,50,数据误差超限
DATA:UPBJ+450.00,51,数据误差超限
DATA:UPBJ+450.00,52,数据误差超限
DATA:UPBJ+450.00,53,数据误差超限
DATA:UPBJ+450.00,54,数据误差超限
DATA:UPBJ+450.00,55,数据误差超限
DATA:UPBJ+450.00,56,数据误差超限
DATA:UPBJ+450.00,57,数据误差超限
DATA:UPBJ+450.00,58,数据误差超限
DATA:UPBJ+450.00,59,数据误差超限
DATA:UPBJ+450.00,60,数据误差超限
DATA:UPBJ+450.00,61,数据误差超限
DATA:UPBJ+450.00,62,数据误差超限
DATA:UPBJ+450.00,63,数据误差超限
